Long Live,Speak Now
Bye Bye Baby,Fearless
no body no crime,Evermore
The Best Day,Fearless
Treacherous,Red
Don't Blame Me,Reputation
Enchanted,Speak Now
Invisible,Taylor Swift
Superstar,Fearless
New Romantics,1989
Mr. Perfectly Fine,Fearless
Ours,Speak Now
Paper Rings,Lover
Our Song,Taylor Swift
coney island,Evermore
Dear Reader,Midnights
dorothea,Evermore
This Is Why We Can't Have Nice Things,Reputation
this is me trying,Folklore
I Forgot That You Existed,Lover
Miss Americana & The Heartbreak Prince,Lover
ivy,Evermore
champagne problems,Evermore
Jump Then Fall,Fearless
illicit affairs,Folklore
You Belong With Me,Fearless
Better Than Revenge,Speak Now
Never Grow Up,Speak Now
Innocent,Speak Now
You Need To Calm Down,Lover
Vigilante Shite,Midnights
False God,Lover
exile,Folklore
Don't You,Fearless
the 1,Folklore
This Love,1989
Run,Red
White Horse,Fearless
22,Red
London Boy,Lover
You're Not Sorry,Fearless
Tell Me Why,Fearless
Karma,Midnights
The Man,Lover
I Almost Do,Red
Midnight Rain,Midnights
mirrorball,Folklore
The Other Side Of The Door,Fearless
Sad Beautiful Tragic,Red
I Think He Knows,Lover
I Knew Your Were Trouble,Red
Tim McGraw,Taylor Swift
Style,1989
How You Get The Girl,1989
Wildest Dreams,1989
Maroon,Midnights
I Know Places,1989
All of The Girls You Loved Before,Single
willow,Evermore
Untouchable,Fearless
The Last Time,Red
Anti-Hero,Midnights
Teardrops On My Guitar,Taylor Swift
cowboy like me,Evermore
A Perfectly Good Heart,Taylor Swift
Breathe,Fearless
Forever Winter,Red
ME!,Lover
The Great War,Midnights
Everything Has Changed,Red
mad woman,Folklore
betty,Folklore
All Too Well 10 Minutes,Red
Fearless,Fearless
Paris,Midnights
Sweet Nothing,Midnights
I Wish You Would,1989
tolerate it,Evermore
Clean,1989
Mine,Speak Now
The Way I Loved You,Fearless
Glitch,Midnights
The Archer,Lover
Mastermind,Midnights
evermore,Evermore
hoax,Folklore
The Outside,Taylor Swift
my tears ricochet,Folklore
Cruel Summer,Lover
the last great american dynasty,Folklore
Dancing With Our Hands Tied,Reputation
Babe,Red
Lavender Haze,Midnights
Bad Blood,1989
Come in With The Rain,Fearless
Haunted,Speak Now
epiphany,Folklore
Goergeous,Reputation
The Moment I Knew,Red
I Did Something Bad,Reputation
Would've Could've Should've,Midnights
We are Never Ever Getting Back Together,Red
Shake It Off,1989
invisible string,Folklore
Afterglow,Lover
King Of My Heart,Reputation
Message in A Bottle,Red
That's When,Fearless
Welcome To New York,1989
It's Nice To Have A Friend,Lover
marjorie,Evermore
Back To December,Speak Now
Hey Stephen,Fearless
Snow on The Beach,Midnights
Forever & Always,Fearless
You Are In Love,1989
You All Over Me,Fearless
You're On Your Own Kid,Midnights
long story short,Evermore
Soon You'll Get Better,Lover
Stay Stay Stay,Red
Last Kiss,Speak Now
Mean,Speak Now
Change,Fearless
Tied Together with a Smile,Taylor Swift
If This Was A Movie,Speak Now
...Ready For It?,Reputation
Bejeweled,Midnights
Starlight,Red
Girl At Home,Red
Cold As You,Taylor Swift
Wonderland,1989
We Were Happy,Fearless
Begin Again,Red
State of Grace,Red
Out Of The Woods,1989
hoappiness,Evermore
A Place in this World,Taylor Swift
Come Back... Be Here,Red
Blank Space,1989
Look What You Made Me Do,Reputation
Death By A Thousand Cuts,Lover
Sparks Fly,Speak Now
Should've said No,Taylor Swift
gold rush,Evermore
it's time to go,Evermore
Holy Ground,Red
I Bet You Think About Me,Red
The Story Of Us,Speak Now
Speak Now,Speak Now
Getaway Car,Reputation
Red,Red
august,Folklore
I'm Only Me When I'm With You,Taylor Swift
Delicate,Reputation
Nothing New,Red
Dear John,Speak Now
Cornelia Street,Lover
Love Story,Fearless
closure,Evermore
New Year's Day,Reputation
Eyes Open,Red
Mary's Song,Taylor Swift
Labyrinth,Midnights
High Infidelity,Midnights
Daylight,Lover
End Game,Reputation
right where you left me,Evermore
Call It What You Want,Reputation
All You Had To Do Was Stay,1989
The Lucky One,Red
Superman,Speak Now
All Too Well,Red
Dress,Reputation
So It Goes...,Reputation
seven,Folklore
Bigger Than The Whole Sky,Midnights
Better Man,Red
peace,Folklore
the lakes,Folklore
Stay Beautiful,Taylor Swift
Ronan,Red
Picture To Burn,Taylor Swift
Today Was A Fairytale,Fearless
Fifteen,Fearless
cardigan,Folklore
tis the damn season,Evermore
The Very First Night,Red
Lover,Lover
Question...,Midnights
